longitude,latitude,SNR
101.646973,2.9245,6.8
101.646858,2.925574,5.8
101.646008,2.92194,5
101.644982,2.922218,-10.3
101.643778,2.922522,-5.3
101.64184,2.92298,-13.5
101.639293,2.922608,-9
101.637638,2.925992,-6.5
101.637652,2.927028,-12
101.637655,2.92808,-9
101.637882,2.929278,-10
101.652157,2.925792,2.3
101.652358,2.922815,0.3
101.651357,2.921633,-13.8
101.649333,2.920992,-1.8
101.647898,2.921173,3
101.645892,2.92787,1.5
101.645297,2.929798,0
101.638322,2.931355,2.3
101.65234,2.923992,-1.8
101.638735,2.932717,3.3
101.640275,2.933863,3
101.641968,2.933658,-10.8
101.642817,2.93321,-1
101.643633,2.932277,-16.3
101.644535,2.931225,-1.8
101.646252,2.930467,-8.8
101.648823,2.930572,-11.3
101.652002,2.929593,6.8
101.652123,2.927537,5
